"","subject","vocoded","timebins","aggbaseline","Condition"
"373","Eye_20","V6",2000,60.6483489786417,"V6"
"374","Eye_20","V6",2100,68.5572812261964,"V6"
"375","Eye_20","V6",2200,76.2665935465526,"V6"
"376","Eye_20","V6",2300,81.5411415933855,"V6"
"377","Eye_20","V6",2400,83.0958024336148,"V6"
"378","Eye_20","V6",2500,77.8946927708377,"V6"
"379","Eye_21","NS",-100,-2.51615780141845,"NS"
"380","Eye_21","NS",0,-7.89399900917815,"NS"
"381","Eye_21","NS",100,-9.9975947737251,"NS"
"382","Eye_21","NS",200,-6.74984945861446,"NS"
"383","Eye_21","NS",300,-2.97019803733428,"NS"
"384","Eye_21","NS",400,3.92934742338505,"NS"
"385","Eye_21","NS",500,20.8281083497919,"NS"
"386","Eye_21","NS",600,31.8302264645347,"NS"
"387","Eye_21","NS",700,26.6800408424451,"NS"
"388","Eye_21","NS",800,23.4022844292931,"NS"
"389","Eye_21","NS",900,17.0816855854955,"NS"
"390","Eye_21","NS",1000,11.6164681526239,"NS"
"391","Eye_21","NS",1100,4.65199612170564,"NS"
"392","Eye_21","NS",1200,4.97315647830847,"NS"
"393","Eye_21","NS",1300,5.68283723429142,"NS"
"394","Eye_21","NS",1400,0.782863734912403,"NS"
"395","Eye_21","NS",1500,-4.12869686398093,"NS"
"396","Eye_21","NS",1600,-9.76833237727716,"NS"
"397","Eye_21","NS",1700,-13.9143573944269,"NS"
"398","Eye_21","NS",1800,-18.4835284557085,"NS"
"399","Eye_21","NS",1900,-19.7702439752497,"NS"
"400","Eye_21","NS",2000,-16.9262163642053,"NS"
"401","Eye_21","NS",2100,-15.8006436351136,"NS"
"402","Eye_21","NS",2200,-12.346497810117,"NS"
"403","Eye_21","NS",2300,-7.38444465552179,"NS"
"404","Eye_21","NS",2400,-4.22302091936066,"NS"
"405","Eye_21","NS",2500,-1.04118445144016,"NS"
"406","Eye_21","V6",-100,-3.00841666666668,"V6"
"407","Eye_21","V6",0,-13.6968144549487,"V6"
"408","Eye_21","V6",100,-23.9771683673469,"V6"
"409","Eye_21","V6",200,-30.5173363095238,"V6"
"410","Eye_21","V6",300,-32.4057435920797,"V6"
"411","Eye_21","V6",400,-24.3783496732026,"V6"
"412","Eye_21","V6",500,4.31832482993197,"V6"
"413","Eye_21","V6",600,40.138112745098,"V6"
"414","Eye_21","V6",700,64.000744047619,"V6"
"415","Eye_21","V6",800,72.0464868776082,"V6"
"416","Eye_21","V6",900,71.1386732295084,"V6"
"417","Eye_21","V6",1000,67.4682944325353,"V6"
"418","Eye_21","V6",1100,61.7576934759602,"V6"
"419","Eye_21","V6",1200,56.5312270317685,"V6"
"420","Eye_21","V6",1300,49.3362328632919,"V6"
"421","Eye_21","V6",1400,44.3229031252784,"V6"
"422","Eye_21","V6",1500,38.936094740387,"V6"
"423","Eye_21","V6",1600,32.3668325440233,"V6"
"424","Eye_21","V6",1700,23.2656793609418,"V6"
"425","Eye_21","V6",1800,11.5594165801922,"V6"
"426","Eye_21","V6",1900,-1.9774080998432,"V6"
"427","Eye_21","V6",2000,-9.90300027265733,"V6"
"428","Eye_21","V6",2100,-15.9623102328837,"V6"
"429","Eye_21","V6",2200,-25.1351796527987,"V6"
"430","Eye_21","V6",2300,-33.7645501383185,"V6"
"431","Eye_21","V6",2400,-38.6938591061971,"V6"
"432","Eye_21","V6",2500,-39.0878411191349,"V6"
"433","Eye_22","NS",-100,2.24416390548445,"NS"
"434","Eye_22","NS",0,5.00026069557247,"NS"
"435","Eye_22","NS",100,6.98649756538215,"NS"
"436","Eye_22","NS",200,13.1235426265957,"NS"
"437","Eye_22","NS",300,24.0794589078022,"NS"
"438","Eye_22","NS",400,32.1392512531544,"NS"
"439","Eye_22","NS",500,34.9051955437279,"NS"
"440","Eye_22","NS",600,28.9002881475634,"NS"
"441","Eye_22","NS",700,10.0388988363825,"NS"
"442","Eye_22","NS",800,-12.6147176745542,"NS"
"443","Eye_22","NS",900,-41.1316063541639,"NS"
"444","Eye_22","NS",1000,-75.5760669476991,"NS"
"445","Eye_22","NS",1100,-107.737789117054,"NS"
"446","Eye_22","NS",1200,-130.472331078963,"NS"
"447","Eye_22","NS",1300,-147.090769502121,"NS"
"448","Eye_22","NS",1400,-155.770683270248,"NS"
"449","Eye_22","NS",1500,-156.622400820753,"NS"
"450","Eye_22","NS",1600,-148.620631780058,"NS"
"451","Eye_22","NS",1700,-137.772745538465,"NS"
"452","Eye_22","NS",1800,-121.943499393352,"NS"
"453","Eye_22","NS",1900,-102.65753734896,"NS"
"454","Eye_22","NS",2000,-84.0398101226727,"NS"
"455","Eye_22","NS",2100,-68.010188041732,"NS"
"456","Eye_22","NS",2200,-52.4050820534953,"NS"
"457","Eye_22","NS",2300,-39.393197357644,"NS"
"458","Eye_22","NS",2400,-27.0393275118334,"NS"
"459","Eye_22","NS",2500,-18.4988886298976,"NS"
"460","Eye_22","V6",-100,1.78921644140487,"V6"
"461","Eye_22","V6",0,5.57081890685786,"V6"
"462","Eye_22","V6",100,11.3313770552289,"V6"
"463","Eye_22","V6",200,18.4949952736623,"V6"
"464","Eye_22","V6",300,22.3277751113216,"V6"
"465","Eye_22","V6",400,19.5564400400948,"V6"
"466","Eye_22","V6",500,20.9515343970121,"V6"
"467","Eye_22","V6",600,29.985226525854,"V6"
"468","Eye_22","V6",700,37.996341635978,"V6"
"469","Eye_22","V6",800,34.7197983111458,"V6"
"470","Eye_22","V6",900,19.1652192609936,"V6"
"471","Eye_22","V6",1000,0.97030369012038,"V6"
"472","Eye_22","V6",1100,-15.4535437063009,"V6"
"473","Eye_22","V6",1200,-25.7981004085884,"V6"
"474","Eye_22","V6",1300,-37.8489995237522,"V6"
"475","Eye_22","V6",1400,-52.8121120281983,"V6"
"476","Eye_22","V6",1500,-61.6102301112565,"V6"
"477","Eye_22","V6",1600,-68.1136198931869,"V6"
"478","Eye_22","V6",1700,-67.6736682430852,"V6"
"479","Eye_22","V6",1800,-61.7603741012976,"V6"
"480","Eye_22","V6",1900,-51.7210425530821,"V6"
"481","Eye_22","V6",2000,-38.6922992333136,"V6"
"482","Eye_22","V6",2100,-24.3913238431575,"V6"
"483","Eye_22","V6",2200,-8.40467668429396,"V6"
"484","Eye_22","V6",2300,5.19519826568602,"V6"
"485","Eye_22","V6",2400,18.9344981523073,"V6"
"486","Eye_22","V6",2500,32.0808037078629,"V6"
"487","Eye_23","NS",-100,1.44544450113914,"NS"
"488","Eye_23","NS",0,2.67654605150124,"NS"
"489","Eye_23","NS",100,-3.84121427105928,"NS"
"490","Eye_23","NS",200,-5.07778376781366,"NS"
"491","Eye_23","NS",300,2.06542769774801,"NS"
"492","Eye_23","NS",400,9.75800386358203,"NS"
"493","Eye_23","NS",500,14.1836356851365,"NS"
"494","Eye_23","NS",600,30.2470255300171,"NS"
"495","Eye_23","NS",700,59.5226450089347,"NS"
"496","Eye_23","NS",800,83.4703889717584,"NS"
"497","Eye_23","NS",900,94.0028720454885,"NS"
"498","Eye_23","NS",1000,88.1278490465059,"NS"
"499","Eye_23","NS",1100,72.3995070578854,"NS"
